cacheSize,blockSize,associativity,writeBack,writeAllocate,missRate,totalCycles
32768,1024,8,1,1,0.289768,23088
32768,1024,8,1,0,0.631887,29627
32768,1024,8,0,1,0.289768,31656
32768,1024,8,0,0,0.631887,29627
32768,1024,16,1,1,0.286107,22828
32768,1024,16,1,0,0.630057,29557
32768,1024,16,0,1,0.286107,31588
32768,1024,16,0,0,0.630057,29557
32768,1024,32,1,1,0.284642,22732
32768,1024,32,1,0,0.63024,29564
32768,1024,32,0,1,0.284642,31588
32768,1024,32,0,0,0.63024,29564
32768,2048,1,1,1,0.262676,21412
32768,2048,1,1,0,0.606992,28675
32768,2048,1,0,1,0.262676,31292
32768,2048,1,0,0,0.606992,28675
32768,2048,2,1,1,0.238148,19946
32768,2048,2,1,0,0.605528,28619
32768,2048,2,0,1,0.238148,30906
32768,2048,2,0,0,0.605528,28619
32768,2048,4,1,1,0.233022,19614
32768,2048,4,1,0,0.604613,28584
32768,2048,4,0,1,0.233022,30830
32768,2048,4,0,0,0.604613,28584
32768,2048,8,1,1,0.232473,19609
32768,2048,8,1,0,0.604247,28570
32768,2048,8,0,1,0.232473,30801
32768,2048,8,0,0,0.604247,28570
32768,2048,16,1,1,0.227897,19298
32768,2048,16,1,0,0.601867,28479
32768,2048,16,0,1,0.227897,30738
32768,2048,16,0,0,0.601867,28479
32768,4096,1,1,1,0.224602,19188
32768,4096,1,1,0,0.577338,27541
32768,4096,1,0,1,0.224602,30620
32768,4096,1,0,0,0.577338,27541
32768,4096,2,1,1,0.182684,16705
32768,4096,2,1,0,0.574044,27415
32768,4096,2,0,1,0.182684,29921
32768,4096,2,0,0,0.574044,27415
32768,4096,4,1,1,0.177009,16368
32768,4096,4,1,0,0.573677,27401
32768,4096,4,0,1,0.177009,29816
32768,4096,4,0,0,0.573677,27401
32768,4096,8,1,1,0.172799,16079
32768,4096,8,1,0,0.572945,27373
32768,4096,8,0,1,0.172799,29783
32768,4096,8,0,0,0.572945,27373
65536,1,1,1,1,1,63184
65536,1,1,1,0,1,43704
65536,1,1,0,1,1,43704
65536,1,1,0,0,1,43704
65536,1,2,1,1,1,61648
65536,1,2,1,0,1,43704
65536,1,2,0,1,1,43704
65536,1,2,0,0,1,43704
65536,1,4,1,1,1,61672
65536,1,4,1,0,1,43704
65536,1,4,0,1,1,43704
65536,1,4,0,0,1,43704
65536,1,8,1,1,1,61488
65536,1,8,1,0,1,43704
65536,1,8,0,1,1,43704
65536,1,8,0,0,1,43704
65536,1,16,1,1,0.999817,57441
65536,1,16,1,0,1,43704
65536,1,16,0,1,0.999817,43697
65536,1,16,0,0,1,43704
65536,1,32,1,1,0.999817,52625
65536,1,32,1,0,1,43704
65536,1,32,0,1,0.999817,43697
65536,1,32,0,0,1,43704
65536,2,1,1,1,1,63184
65536,2,1,1,0,1,43704
65536,2,1,0,1,1,43704
65536,2,1,0,0,1,43704
65536,2,2,1,1,1,61648
65536,2,2,1,0,1,43704
65536,2,2,0,1,1,43704
65536,2,2,0,0,1,43704
65536,2,4,1,1,1,61672
65536,2,4,1,0,1,43704
65536,2,4,0,1,1,43704
65536,2,4,0,0,1,43704
65536,2,8,1,1,1,61488
65536,2,8,1,0,1,43704
65536,2,8,0,1,1,43704
65536,2,8,0,0,1,43704
65536,2,16,1,1,0.999817,57441
65536,2,16,1,0,1,43704
65536,2,16,0,1,0.999817,43697
65536,2,16,0,0,1,43704
65536,2,32,1,1,0.999817,52625
65536,2,32,1,0,1,43704
65536,2,32,0,1,0.999817,43697
65536,2,32,0,0,1,43704
65536,4,1,1,1,1,63184
65536,4,1,1,0,1,43704
65536,4,1,0,1,1,43704
65536,4,1,0,0,1,43704
65536,4,2,1,1,1,61648
65536,4,2,1,0,1,43704
65536,4,2,0,1,1,43704
65536,4,2,0,0,1,43704
65536,4,4,1,1,1,61672
65536,4,4,1,0,1,43704
65536,4,4,0,1,1,43704
65536,4,4,0,0,1,43704
65536,4,8,1,1,1,61488
65536,4,8,1,0,1,43704
65536,4,8,0,1,1,43704
65536,4,8,0,0,1,43704
65536,4,16,1,1,0.999817,57441
65536,4,16,1,0,1,43704
65536,4,16,0,1,0.999817,43697
65536,4,16,0,0,1,43704
65536,4,32,1,1,0.999817,52625
65536,4,32,1,0,1,43704
65536,4,32,0,1,0.999817,43697
65536,4,32,0,0,1,43704
65536,8,1,1,1,1,63184
65536,8,1,1,0,1,43704
65536,8,1,0,1,1,43704
65536,8,1,0,0,1,43704
65536,8,2,1,1,1,61648
65536,8,2,1,0,1,43704
65536,8,2,0,1,1,43704
